state,state_abbreviation,county,party,candidate,votes,fraction_votes
Alabama,AL,Cherokee,Republican,Ted Cruz,921,0.17300000000000000
Alabama,AL,Chilton,Republican,Ben Carson,1149,0.10800000000000000
Alabama,AL,Chilton,Republican,Donald Trump,5273,0.493
Alabama,AL,Chilton,Republican,John Kasich,218,0.02
Alabama,AL,Chilton,Republican,Marco Rubio,1436,0.134
Alabama,AL,Chilton,Republican,Ted Cruz,2328,0.218
Alabama,AL,Choctaw,Republican,Ben Carson,169,0.079
Alabama,AL,Choctaw,Republican,Donald Trump,1070,0.499
Alabama,AL,Choctaw,Republican,John Kasich,68,0.032
Alabama,AL,Choctaw,Republican,Marco Rubio,315,0.147
Alabama,AL,Choctaw,Republican,Ted Cruz,451,0.21
Alabama,AL,Clarke,Republican,Ben Carson,410,0.08900000000000000
Alabama,AL,Clarke,Republican,Donald Trump,2308,0.502
Alabama,AL,Clarke,Republican,John Kasich,125,0.027000000000000000
Alabama,AL,Clarke,Republican,Marco Rubio,805,0.175
Alabama,AL,Clarke,Republican,Ted Cruz,886,0.193
Alabama,AL,Clay,Republican,Ben Carson,492,0.122
Alabama,AL,Clay,Republican,Donald Trump,1920,0.47600000000000000
Alabama,AL,Clay,Republican,John Kasich,125,0.031
Alabama,AL,Clay,Republican,Marco Rubio,505,0.125
Alabama,AL,Clay,Republican,Ted Cruz,836,0.207
Alabama,AL,Cleburne,Republican,Ben Carson,437,0.1
Alabama,AL,Cleburne,Republican,Donald Trump,2120,0.483
Alabama,AL,Cleburne,Republican,John Kasich,106,0.024
Alabama,AL,Cleburne,Republican,Marco Rubio,598,0.136
Alabama,AL,Cleburne,Republican,Ted Cruz,928,0.21100000000000000
Alabama,AL,Coffee,Republican,Ben Carson,1368,0.132
Alabama,AL,Coffee,Republican,Donald Trump,4304,0.414
Alabama,AL,Coffee,Republican,John Kasich,377,0.036000000000000000
Alabama,AL,Coffee,Republican,Marco Rubio,1608,0.155
Alabama,AL,Coffee,Republican,Ted Cruz,2421,0.233
Alabama,AL,Colbert,Republican,Ben Carson,884,0.109
Alabama,AL,Colbert,Republican,Donald Trump,3858,0.474
Alabama,AL,Colbert,Republican,John Kasich,250,0.031
Alabama,AL,Colbert,Republican,Marco Rubio,1443,0.177
Alabama,AL,Colbert,Republican,Ted Cruz,1601,0.19700000000000000
Alabama,AL,Conecuh,Republican,Ben Carson,137,0.105
Alabama,AL,Conecuh,Republican,Donald Trump,768,0.59
Alabama,AL,Conecuh,Republican,John Kasich,17,0.013000000000000000
Alabama,AL,Conecuh,Republican,Marco Rubio,141,0.10800000000000000
Alabama,AL,Conecuh,Republican,Ted Cruz,208,0.16
Alabama,AL,Coosa,Republican,Ben Carson,201,0.09
Alabama,AL,Coosa,Republican,Donald Trump,1233,0.5530000000000000
Alabama,AL,Coosa,Republican,John Kasich,66,0.03
Alabama,AL,Coosa,Republican,Marco Rubio,241,0.10800000000000000
Alabama,AL,Coosa,Republican,Ted Cruz,435,0.195
Alabama,AL,Covington,Republican,Ben Carson,1275,0.133
Alabama,AL,Covington,Republican,Donald Trump,4608,0.48100000000000000
Alabama,AL,Covington,Republican,John Kasich,324,0.034
Alabama,AL,Covington,Republican,Marco Rubio,1277,0.133
Alabama,AL,Covington,Republican,Ted Cruz,1773,0.185
Alabama,AL,Crenshaw,Republican,Ben Carson,286,0.10400000000000000
Alabama,AL,Crenshaw,Republican,Donald Trump,1496,0.545
Alabama,AL,Crenshaw,Republican,John Kasich,70,0.026000000000000000
Alabama,AL,Crenshaw,Republican,Marco Rubio,250,0.091
Alabama,AL,Crenshaw,Republican,Ted Cruz,602,0.21900000000000000
Alabama,AL,Cullman,Republican,Ben Carson,2301,0.11
Alabama,AL,Cullman,Republican,Donald Trump,10618,0.506
Alabama,AL,Cullman,Republican,John Kasich,558,0.027000000000000000
Alabama,AL,Cullman,Republican,Marco Rubio,2832,0.135
Alabama,AL,Cullman,Republican,Ted Cruz,4248,0.203
Alabama,AL,Dale,Republican,Ben Carson,1150,0.125
Alabama,AL,Dale,Republican,Donald Trump,4151,0.45300000000000000
Alabama,AL,Dale,Republican,John Kasich,333,0.036000000000000000
Alabama,AL,Dale,Republican,Marco Rubio,1194,0.13
Alabama,AL,Dale,Republican,Ted Cruz,2008,0.21900000000000000
Alabama,AL,Dallas,Republican,Ben Carson,46,0.053
Alabama,AL,Dallas,Republican,Donald Trump,523,0.597
Alabama,AL,Dallas,Republican,John Kasich,23,0.026000000000000000
Alabama,AL,Dallas,Republican,Marco Rubio,76,0.087
Alabama,AL,Dallas,Republican,Ted Cruz,181,0.207
Alabama,AL,DeKalb,Republican,Ben Carson,1285,0.098
Alabama,AL,DeKalb,Republican,Donald Trump,6247,0.47600000000000000
Alabama,AL,DeKalb,Republican,John Kasich,325,0.025
Alabama,AL,DeKalb,Republican,Marco Rubio,2837,0.21600000000000000
Alabama,AL,DeKalb,Republican,Ted Cruz,2153,0.16400000000000000
Alabama,AL,Elmore,Republican,Ben Carson,2630,0.14800000000000000
Alabama,AL,Elmore,Republican,Donald Trump,8525,0.478
Alabama,AL,Elmore,Republican,John Kasich,634,0.036000000000000000
Alabama,AL,Elmore,Republican,Marco Rubio,2387,0.134
Alabama,AL,Elmore,Republican,Ted Cruz,3236,0.182
Alabama,AL,Escambia,Republican,Ben Carson,585,0.102
Alabama,AL,Escambia,Republican,Donald Trump,2817,0.493
Alabama,AL,Escambia,Republican,John Kasich,194,0.034
Alabama,AL,Escambia,Republican,Marco Rubio,1028,0.18
Alabama,AL,Escambia,Republican,Ted Cruz,978,0.171
Alabama,AL,Etowah,Republican,Ben Carson,2098,0.11200000000000000
Alabama,AL,Etowah,Republican,Donald Trump,8657,0.461
Alabama,AL,Etowah,Republican,John Kasich,616,0.033
Alabama,AL,Etowah,Republican,Marco Rubio,3155,0.168
Alabama,AL,Etowah,Republican,Ted Cruz,3891,0.207
Alabama,AL,Fayette,Republican,Ben Carson,488,0.098
Alabama,AL,Fayette,Republican,Donald Trump,2479,0.499
Alabama,AL,Fayette,Republican,John Kasich,124,0.025
Alabama,AL,Fayette,Republican,Marco Rubio,663,0.133
Alabama,AL,Fayette,Republican,Ted Cruz,1043,0.21
Alabama,AL,Franklin,Republican,Ben Carson,388,0.09300000000000000
Alabama,AL,Franklin,Republican,Donald Trump,2155,0.515
Alabama,AL,Franklin,Republican,John Kasich,107,0.026000000000000000
Alabama,AL,Franklin,Republican,Marco Rubio,562,0.134
Alabama,AL,Franklin,Republican,Ted Cruz,892,0.213
Alabama,AL,Geneva,Republican,Ben Carson,592,0.09300000000000000
Alabama,AL,Geneva,Republican,Donald Trump,3106,0.486
Alabama,AL,Geneva,Republican,John Kasich,146,0.023
Alabama,AL,Geneva,Republican,Marco Rubio,829,0.13
Alabama,AL,Geneva,Republican,Ted Cruz,1517,0.237
Alabama,AL,Greene,Republican,Ben Carson,19,0.07
Alabama,AL,Greene,Republican,Donald Trump,147,0.5380000000000000
Alabama,AL,Greene,Republican,John Kasich,10,0.037000000000000000
Alabama,AL,Greene,Republican,Marco Rubio,33,0.121
Alabama,AL,Greene,Republican,Ted Cruz,59,0.21600000000000000
Alabama,AL,Hale,Republican,Ben Carson,88,0.078
Alabama,AL,Hale,Republican,Donald Trump,590,0.521
Alabama,AL,Hale,Republican,John Kasich,24,0.021
Alabama,AL,Hale,Republican,Marco Rubio,132,0.11700000000000000
Alabama,AL,Hale,Republican,Ted Cruz,283,0.25
Alabama,AL,Henry,Republican,Ben Carson,436,0.115
Alabama,AL,Henry,Republican,Donald Trump,1778,0.46800000000000000
Alabama,AL,Henry,Republican,John Kasich,107,0.028000000000000000
Alabama,AL,Henry,Republican,Marco Rubio,545,0.14300000000000000
Alabama,AL,Henry,Republican,Ted Cruz,847,0.223
Alabama,AL,Houston,Republican,Ben Carson,2310,0.114
