county,candidate,party,votes,votesm
Talladega,Ben Carson,Republican,1179,1.179
Talladega,Donald Trump,Republican,6304,6.304
Talladega,John Kasich,Republican,470,0.47
Talladega,Marco Rubio,Republican,1676,1.676
Talladega,Ted Cruz,Republican,2468,2.468
Tallapoosa,Ben Carson,Republican,1006,1.006
Tallapoosa,Donald Trump,Republican,4658,4.658
Tallapoosa,John Kasich,Republican,371,0.371
Tallapoosa,Marco Rubio,Republican,1289,1.289
Tallapoosa,Ted Cruz,Republican,1325,1.325
Tuscaloosa,Ben Carson,Republican,3310,3.31
Tuscaloosa,Donald Trump,Republican,11652,11.652
Tuscaloosa,John Kasich,Republican,1381,1.381
Tuscaloosa,Marco Rubio,Republican,6333,6.333
Tuscaloosa,Ted Cruz,Republican,7789,7.789
Walker,Ben Carson,Republican,1369,1.369
Walker,Donald Trump,Republican,8394,8.394
Walker,John Kasich,Republican,362,0.362
Walker,Marco Rubio,Republican,1652,1.652
Walker,Ted Cruz,Republican,3106,3.106
Washington,Ben Carson,Republican,152,0.152
Washington,Donald Trump,Republican,1269,1.269
Washington,John Kasich,Republican,27,0.027
Washington,Marco Rubio,Republican,362,0.362
Washington,Ted Cruz,Republican,516,0.516
Wilcox,Ben Carson,Republican,44,0.044
Wilcox,Donald Trump,Republican,287,0.287
Wilcox,John Kasich,Republican,12,0.012
Wilcox,Marco Rubio,Republican,64,0.064
Wilcox,Ted Cruz,Republican,114,0.114
Winston,Ben Carson,Republican,539,0.539
Winston,Donald Trump,Republican,3352,3.352
Winston,John Kasich,Republican,163,0.163
Winston,Marco Rubio,Republican,708,0.708
Winston,Ted Cruz,Republican,1076,1.076
State House District 1,Bernie Sanders,Democrat,9,0.009
State House District 1,Hillary Clinton,Democrat,3,0.003
State House District 10,Bernie Sanders,Democrat,8,0.008
State House District 10,Hillary Clinton,Democrat,2,0.002
State House District 11,Bernie Sanders,Democrat,9,0.009
State House District 11,Hillary Clinton,Democrat,2,0.002
State House District 12,Bernie Sanders,Democrat,10,0.01
State House District 12,Hillary Clinton,Democrat,0,0.0
State House District 13,Bernie Sanders,Democrat,5,0.005
State House District 13,Hillary Clinton,Democrat,2,0.002
State House District 14,Bernie Sanders,Democrat,9,0.009
State House District 14,Hillary Clinton,Democrat,4,0.004
State House District 15,Bernie Sanders,Democrat,8,0.008
State House District 15,Hillary Clinton,Democrat,1,0.001
State House District 16,Bernie Sanders,Democrat,12,0.012
State House District 16,Hillary Clinton,Democrat,3,0.003
State House District 17,Bernie Sanders,Democrat,10,0.01
State House District 17,Hillary Clinton,Democrat,4,0.004
State House District 18,Bernie Sanders,Democrat,14,0.014
State House District 18,Hillary Clinton,Democrat,4,0.004
State House District 19,Bernie Sanders,Democrat,8,0.008
State House District 19,Hillary Clinton,Democrat,4,0.004
State House District 2,Bernie Sanders,Democrat,5,0.005
State House District 2,Hillary Clinton,Democrat,1,0.001
State House District 20,Bernie Sanders,Democrat,12,0.012
State House District 20,Hillary Clinton,Democrat,6,0.006
State House District 21,Bernie Sanders,Democrat,12,0.012
State House District 21,Hillary Clinton,Democrat,6,0.006
State House District 22,Bernie Sanders,Democrat,11,0.011
State House District 22,Hillary Clinton,Democrat,3,0.003
State House District 23,Bernie Sanders,Democrat,13,0.013
State House District 23,Hillary Clinton,Democrat,0,0.0
State House District 24,Bernie Sanders,Democrat,10,0.01
State House District 24,Hillary Clinton,Democrat,5,0.005
State House District 25,Bernie Sanders,Democrat,11,0.011
State House District 25,Hillary Clinton,Democrat,4,0.004
State House District 26,Bernie Sanders,Democrat,10,0.01
State House District 26,Hillary Clinton,Democrat,4,0.004
State House District 27,Bernie Sanders,Democrat,13,0.013
State House District 27,Hillary Clinton,Democrat,4,0.004
State House District 28,Bernie Sanders,Democrat,14,0.014
State House District 28,Hillary Clinton,Democrat,5,0.005
State House District 29,Bernie Sanders,Democrat,8,0.008
State House District 29,Hillary Clinton,Democrat,2,0.002
State House District 3,Bernie Sanders,Democrat,7,0.007
State House District 3,Hillary Clinton,Democrat,0,0.0
State House District 30,Bernie Sanders,Democrat,7,0.007
State House District 30,Hillary Clinton,Democrat,2,0.002
State House District 31,Bernie Sanders,Democrat,16,0.016
State House District 31,Hillary Clinton,Democrat,0,0.0
State House District 32,Bernie Sanders,Democrat,13,0.013
State House District 32,Hillary Clinton,Democrat,0,0.0
State House District 33,Bernie Sanders,Democrat,21,0.021
State House District 33,Hillary Clinton,Democrat,4,0.004
State House District 34,Bernie Sanders,Democrat,14,0.014
State House District 34,Hillary Clinton,Democrat,4,0.004
State House District 35,Bernie Sanders,Democrat,14,0.014
State House District 35,Hillary Clinton,Democrat,4,0.004
State House District 36,Bernie Sanders,Democrat,10,0.01
State House District 36,Hillary Clinton,Democrat,2,0.002
State House District 37,Bernie Sanders,Democrat,11,0.011
State House District 37,Hillary Clinton,Democrat,3,0.003
State House District 38,Bernie Sanders,Democrat,17,0.017
State House District 38,Hillary Clinton,Democrat,0,0.0
State House District 39,Bernie Sanders,Democrat,13,0.013
State House District 39,Hillary Clinton,Democrat,4,0.004
State House District 4,Bernie Sanders,Democrat,16,0.016
State House District 4,Hillary Clinton,Democrat,3,0.003
State House District 40,Bernie Sanders,Democrat,12,0.012
State House District 40,Hillary Clinton,Democrat,0,0.0
State House District 5,Bernie Sanders,Democrat,15,0.015
State House District 5,Hillary Clinton,Democrat,0,0.0
State House District 6,Bernie Sanders,Democrat,12,0.012
State House District 6,Hillary Clinton,Democrat,0,0.0
State House District 7,Bernie Sanders,Democrat,6,0.006
State House District 7,Hillary Clinton,Democrat,2,0.002
State House District 8,Bernie Sanders,Democrat,7,0.007
State House District 8,Hillary Clinton,Democrat,0,0.0
State House District 9,Bernie Sanders,Democrat,8,0.008
State House District 9,Hillary Clinton,Democrat,2,0.002
State House District 1,Ben Carson,Republican,26,0.026
State House District 1,Donald Trump,Republican,134,0.134
State House District 1,John Kasich,Republican,12,0.012
State House District 1,Marco Rubio,Republican,62,0.062
State House District 1,Ted Cruz,Republican,151,0.151
State House District 10,Ben Carson,Republican,80,0.08
