county,candidate,party,votes,votesm
Lincoln,Ted Cruz,Republican,167,0.167
Little Compton,Donald Trump,Republican,268,0.268
Little Compton,John Kasich,Republican,113,0.113
Little Compton,Ted Cruz,Republican,40,0.04
Mail Ballots C.D. 1,Donald Trump,Republican,433,0.433
Mail Ballots C.D. 1,John Kasich,Republican,239,0.239
Mail Ballots C.D. 1,Ted Cruz,Republican,148,0.148
Mail Ballots C.D. 2,Donald Trump,Republican,528,0.528
Mail Ballots C.D. 2,John Kasich,Republican,232,0.232
Mail Ballots C.D. 2,Ted Cruz,Republican,138,0.138
Middletown,Donald Trump,Republican,524,0.524
Middletown,John Kasich,Republican,288,0.288
Middletown,Ted Cruz,Republican,136,0.136
Narragansett,Donald Trump,Republican,759,0.759
Narragansett,John Kasich,Republican,404,0.404
Narragansett,Ted Cruz,Republican,114,0.114
New Shoreham,Donald Trump,Republican,50,0.05
New Shoreham,John Kasich,Republican,29,0.029
New Shoreham,Ted Cruz,Republican,10,0.01
Newport,Donald Trump,Republican,586,0.586
Newport,John Kasich,Republican,384,0.384
Newport,Ted Cruz,Republican,117,0.117
North Kingstown,Donald Trump,Republican,1504,1.504
North Kingstown,John Kasich,Republican,952,0.952
North Kingstown,Ted Cruz,Republican,301,0.301
North Providence,Donald Trump,Republican,960,0.96
North Providence,John Kasich,Republican,205,0.205
North Providence,Ted Cruz,Republican,146,0.146
North Smithfield,Donald Trump,Republican,759,0.759
North Smithfield,John Kasich,Republican,258,0.258
North Smithfield,Ted Cruz,Republican,146,0.146
Pawtucket,Donald Trump,Republican,1105,1.105
Pawtucket,John Kasich,Republican,272,0.272
Pawtucket,Ted Cruz,Republican,182,0.182
Portsmouth,Donald Trump,Republican,908,0.908
Portsmouth,John Kasich,Republican,571,0.571
Portsmouth,Ted Cruz,Republican,243,0.243
Providence,Donald Trump,Republican,1020,1.02
Providence,John Kasich,Republican,661,0.661
Providence,Ted Cruz,Republican,276,0.276
Richmond,Donald Trump,Republican,510,0.51
Richmond,John Kasich,Republican,179,0.179
Richmond,Ted Cruz,Republican,112,0.112
Scituate,Donald Trump,Republican,924,0.924
Scituate,John Kasich,Republican,228,0.228
Scituate,Ted Cruz,Republican,121,0.121
Smithfield,Donald Trump,Republican,1026,1.026
Smithfield,John Kasich,Republican,329,0.329
Smithfield,Ted Cruz,Republican,168,0.168
South Kingstown,Donald Trump,Republican,974,0.974
South Kingstown,John Kasich,Republican,655,0.655
South Kingstown,Ted Cruz,Republican,207,0.207
Tiverton,Donald Trump,Republican,920,0.92
Tiverton,John Kasich,Republican,252,0.252
Tiverton,Ted Cruz,Republican,121,0.121
Warren,Donald Trump,Republican,383,0.383
Warren,John Kasich,Republican,144,0.144
Warren,Ted Cruz,Republican,68,0.068
Warwick,Donald Trump,Republican,4316,4.316
Warwick,John Kasich,Republican,1419,1.419
Warwick,Ted Cruz,Republican,596,0.596
West Greenwich,Donald Trump,Republican,525,0.525
West Greenwich,John Kasich,Republican,147,0.147
West Greenwich,Ted Cruz,Republican,90,0.09
West Warwick,Donald Trump,Republican,1214,1.214
West Warwick,John Kasich,Republican,278,0.278
West Warwick,Ted Cruz,Republican,152,0.152
Westerly,Donald Trump,Republican,963,0.963
Westerly,John Kasich,Republican,421,0.421
Westerly,Ted Cruz,Republican,156,0.156
Woonsocket,Donald Trump,Republican,1017,1.017
Woonsocket,John Kasich,Republican,176,0.176
Woonsocket,Ted Cruz,Republican,143,0.143
Abbeville,Bernie Sanders,Democrat,312,0.312
Abbeville,Hillary Clinton,Democrat,1501,1.501
Aiken,Bernie Sanders,Democrat,2870,2.87
Aiken,Hillary Clinton,Democrat,6888,6.888
Allendale,Bernie Sanders,Democrat,95,0.095
Allendale,Hillary Clinton,Democrat,1022,1.022
Anderson,Bernie Sanders,Democrat,2691,2.691
Anderson,Hillary Clinton,Democrat,5550,5.55
Bamberg,Bernie Sanders,Democrat,204,0.204
Bamberg,Hillary Clinton,Democrat,1715,1.715
Barnwell,Bernie Sanders,Democrat,209,0.209
Barnwell,Hillary Clinton,Democrat,1560,1.56
Beaufort,Bernie Sanders,Democrat,3567,3.567
Beaufort,Hillary Clinton,Democrat,9945,9.945
Berkeley,Bernie Sanders,Democrat,3584,3.584
Berkeley,Hillary Clinton,Democrat,9471,9.471
Calhoun,Bernie Sanders,Democrat,241,0.241
Calhoun,Hillary Clinton,Democrat,1536,1.536
Charleston,Bernie Sanders,Democrat,13420,13.42
Charleston,Hillary Clinton,Democrat,26535,26.535
Cherokee,Bernie Sanders,Democrat,514,0.514
Cherokee,Hillary Clinton,Democrat,1870,1.87
Chester,Bernie Sanders,Democrat,492,0.492
Chester,Hillary Clinton,Democrat,1962,1.962
Chesterfield,Bernie Sanders,Democrat,446,0.446
Chesterfield,Hillary Clinton,Democrat,2209,2.209
Clarendon,Bernie Sanders,Democrat,337,0.337
Clarendon,Hillary Clinton,Democrat,3564,3.564
Colleton,Bernie Sanders,Democrat,583,0.583
Colleton,Hillary Clinton,Democrat,2932,2.932
Darlington,Bernie Sanders,Democrat,1079,1.079
Darlington,Hillary Clinton,Democrat,4988,4.988
Dillon,Bernie Sanders,Democrat,292,0.292
Dillon,Hillary Clinton,Democrat,1615,1.615
Dorchester,Bernie Sanders,Democrat,2876,2.876
Dorchester,Hillary Clinton,Democrat,6920,6.92
Edgefield,Bernie Sanders,Democrat,301,0.301
Edgefield,Hillary Clinton,Democrat,1474,1.474
Fairfield,Bernie Sanders,Democrat,440,0.44
Fairfield,Hillary Clinton,Democrat,3260,3.26
Florence,Bernie Sanders,Democrat,2584,2.584
Florence,Hillary Clinton,Democrat,9411,9.411
Georgetown,Bernie Sanders,Democrat,1346,1.346
Georgetown,Hillary Clinton,Democrat,4931,4.931
Greenville,Bernie Sanders,Democrat,10965,10.965
Greenville,Hillary Clinton,Democrat,19807,19.807
Greenwood,Bernie Sanders,Democrat,983,0.983
Greenwood,Hillary Clinton,Democrat,3588,3.588
Hampton,Bernie Sanders,Democrat,241,0.241
Hampton,Hillary Clinton,Democrat,1930,1.93
Horry,Bernie Sanders,Democrat,5449,5.449
Horry,Hillary Clinton,Democrat,11294,11.294
Jasper,Bernie Sanders,Democrat,355,0.355
Jasper,Hillary Clinton,Democrat,2194,2.194
Kershaw,Bernie Sanders,Democrat,1086,1.086
Kershaw,Hillary Clinton,Democrat,3743,3.743
Lancaster,Bernie Sanders,Democrat,1213,1.213
Lancaster,Hillary Clinton,Democrat,3332,3.332
Laurens,Bernie Sanders,Democrat,799,0.799
Laurens,Hillary Clinton,Democrat,2952,2.952
Lee,Bernie Sanders,Democrat,288,0.288
Lee,Hillary Clinton,Democrat,2207,2.207
Lexington,Bernie Sanders,Democrat,5584,5.584
Lexington,Hillary Clinton,Democrat,8810,8.81
Marion,Bernie Sanders,Democrat,552,0.552
Marion,Hillary Clinton,Democrat,3359,3.359
Marlboro,Bernie Sanders,Democrat,252,0.252
Marlboro,Hillary Clinton,Democrat,2132,2.132
McCormick,Bernie Sanders,Democrat,162,0.162
McCormick,Hillary Clinton,Democrat,973,0.973
Newberry,Bernie Sanders,Democrat,469,0.469
Newberry,Hillary Clinton,Democrat,2118,2.118
Oconee,Bernie Sanders,Democrat,1303,1.303
Oconee,Hillary Clinton,Democrat,1960,1.96
Orangeburg,Bernie Sanders,Democrat,1460,1.46
Orangeburg,Hillary Clinton,Democrat,11819,11.819
Pickens,Bernie Sanders,Democrat,1988,1.988
Pickens,Hillary Clinton,Democrat,2499,2.499
Richland,Bernie Sanders,Democrat,12318,12.318
Richland,Hillary Clinton,Democrat,39243,39.243
Saluda,Bernie Sanders,Democrat,192,0.192
Saluda,Hillary Clinton,Democrat,1023,1.023
Spartanburg,Bernie Sanders,Democrat,4447,4.447
Spartanburg,Hillary Clinton,Democrat,10662,10.662
Sumter,Bernie Sanders,Democrat,1441,1.441
Sumter,Hillary Clinton,Democrat,9816,9.816
Union,Bernie Sanders,Democrat,332,0.332
Union,Hillary Clinton,Democrat,1690,1.69
Williamsburg,Bernie Sanders,Democrat,557,0.557
Williamsburg,Hillary Clinton,Democrat,4609,4.609
York,Bernie Sanders,Democrat,5058,5.058
York,Hillary Clinton,Democrat,8895,8.895
Abbeville,Ben Carson,Republican,305,0.305
Abbeville,Donald Trump,Republican,1353,1.353
Abbeville,Jeb Bush,Republican,236,0.236
Abbeville,John Kasich,Republican,157,0.157
Abbeville,Marco Rubio,Republican,740,0.74
Abbeville,Ted Cruz,Republican,876,0.876
Aiken,Ben Carson,Republican,2613,2.613
Aiken,Donald Trump,Republican,9027,9.027
Aiken,Jeb Bush,Republican,1207,1.207
Aiken,John Kasich,Republican,1904,1.904
Aiken,Marco Rubio,Republican,6804,6.804
Aiken,Ted Cruz,Republican,7036,7.036
Allendale,Ben Carson,Republican,32,0.032
Allendale,Donald Trump,Republican,160,0.16
Allendale,Jeb Bush,Republican,21,0.021
Allendale,John Kasich,Republican,12,0.012
Allendale,Marco Rubio,Republican,92,0.092
Allendale,Ted Cruz,Republican,44,0.044
Anderson,Ben Carson,Republican,2959,2.959
Anderson,Donald Trump,Republican,10953,10.953
Anderson,Jeb Bush,Republican,2411,2.411
Anderson,John Kasich,Republican,2038,2.038
Anderson,Marco Rubio,Republican,7175,7.175
Anderson,Ted Cruz,Republican,8750,8.75
Bamberg,Ben Carson,Republican,78,0.078
Bamberg,Donald Trump,Republican,481,0.481
Bamberg,Jeb Bush,Republican,58,0.058
Bamberg,John Kasich,Republican,57,0.057
Bamberg,Marco Rubio,Republican,333,0.333
Bamberg,Ted Cruz,Republican,193,0.193
Barnwell,Ben Carson,Republican,171,0.171
Barnwell,Donald Trump,Republican,1106,1.106
Barnwell,Jeb Bush,Republican,129,0.129
Barnwell,John Kasich,Republican,91,0.091
Barnwell,Marco Rubio,Republican,575,0.575
Barnwell,Ted Cruz,Republican,516,0.516
Beaufort,Ben Carson,Republican,1095,1.095
Beaufort,Donald Trump,Republican,9912,9.912
Beaufort,Jeb Bush,Republican,2185,2.185
Beaufort,John Kasich,Republican,6245,6.245
Beaufort,Marco Rubio,Republican,9126,9.126
Beaufort,Ted Cruz,Republican,4407,4.407
Berkeley,Ben Carson,Republican,1641,1.641
Berkeley,Donald Trump,Republican,9406,9.406
Berkeley,Jeb Bush,Republican,2662,2.662
Berkeley,John Kasich,Republican,1555,1.555
Berkeley,Marco Rubio,Republican,6176,6.176
Berkeley,Ted Cruz,Republican,6244,6.244
Calhoun,Ben Carson,Republican,139,0.139
Calhoun,Donald Trump,Republican,805,0.805
Calhoun,Jeb Bush,Republican,250,0.25
Calhoun,John Kasich,Republican,110,0.11
Calhoun,Marco Rubio,Republican,421,0.421
Calhoun,Ted Cruz,Republican,564,0.564
Charleston,Ben Carson,Republican,2467,2.467
Charleston,Donald Trump,Republican,14420,14.42
Charleston,Jeb Bush,Republican,6140,6.14
Charleston,John Kasich,Republican,7301,7.301
Charleston,Marco Rubio,Republican,15247,15.247
Charleston,Ted Cruz,Republican,9050,9.05
Cherokee,Ben Carson,Republican,879,0.879
Cherokee,Donald Trump,Republican,3616,3.616
Cherokee,Jeb Bush,Republican,382,0.382
Cherokee,John Kasich,Republican,308,0.308
Cherokee,Marco Rubio,Republican,1449,1.449
Cherokee,Ted Cruz,Republican,1978,1.978
Chester,Ben Carson,Republican,284,0.284
Chester,Donald Trump,Republican,1403,1.403
Chester,Jeb Bush,Republican,126,0.126
Chester,John Kasich,Republican,119,0.119
Chester,Marco Rubio,Republican,553,0.553
Chester,Ted Cruz,Republican,844,0.844
Chesterfield,Ben Carson,Republican,246,0.246
Chesterfield,Donald Trump,Republican,1806,1.806
Chesterfield,Jeb Bush,Republican,180,0.18
Chesterfield,John Kasich,Republican,139,0.139
Chesterfield,Marco Rubio,Republican,695,0.695
Chesterfield,Ted Cruz,Republican,1434,1.434
Clarendon,Ben Carson,Republican,267,0.267
Clarendon,Donald Trump,Republican,1601,1.601
Clarendon,Jeb Bush,Republican,354,0.354
Clarendon,John Kasich,Republican,243,0.243
Clarendon,Marco Rubio,Republican,793,0.793
Clarendon,Ted Cruz,Republican,1036,1.036
Colleton,Ben Carson,Republican,281,0.281
Colleton,Donald Trump,Republican,2326,2.326
Colleton,Jeb Bush,Republican,503,0.503
Colleton,John Kasich,Republican,223,0.223
Colleton,Marco Rubio,Republican,936,0.936
Colleton,Ted Cruz,Republican,1103,1.103
Darlington,Ben Carson,Republican,525,0.525
Darlington,Donald Trump,Republican,3352,3.352
Darlington,Jeb Bush,Republican,693,0.693
Darlington,John Kasich,Republican,328,0.328
Darlington,Marco Rubio,Republican,1387,1.387
Darlington,Ted Cruz,Republican,2594,2.594
Dillon,Ben Carson,Republican,112,0.112
Dillon,Donald Trump,Republican,972,0.972
Dillon,Jeb Bush,Republican,169,0.169
Dillon,John Kasich,Republican,65,0.065
Dillon,Marco Rubio,Republican,445,0.445
Dillon,Ted Cruz,Republican,912,0.912
Dorchester,Ben Carson,Republican,1310,1.31
Dorchester,Donald Trump,Republican,6949,6.949
Dorchester,Jeb Bush,Republican,1951,1.951
Dorchester,John Kasich,Republican,1418,1.418
Dorchester,Marco Rubio,Republican,5244,5.244
Dorchester,Ted Cruz,Republican,5199,5.199
Edgefield,Ben Carson,Republican,326,0.326
Edgefield,Donald Trump,Republican,1366,1.366
Edgefield,Jeb Bush,Republican,116,0.116
Edgefield,John Kasich,Republican,151,0.151
Edgefield,Marco Rubio,Republican,900,0.9
Edgefield,Ted Cruz,Republican,1148,1.148
Fairfield,Ben Carson,Republican,145,0.145
Fairfield,Donald Trump,Republican,919,0.919
Fairfield,Jeb Bush,Republican,204,0.204
Fairfield,John Kasich,Republican,164,0.164
Fairfield,Marco Rubio,Republican,496,0.496
Fairfield,Ted Cruz,Republican,631,0.631
Florence,Ben Carson,Republican,1267,1.267
Florence,Donald Trump,Republican,6004,6.004
Florence,Jeb Bush,Republican,1462,1.462
Florence,John Kasich,Republican,823,0.823
Florence,Marco Rubio,Republican,3357,3.357
Florence,Ted Cruz,Republican,5208,5.208
Georgetown,Ben Carson,Republican,609,0.609
Georgetown,Donald Trump,Republican,4620,4.62
Georgetown,Jeb Bush,Republican,959,0.959
Georgetown,John Kasich,Republican,1023,1.023
Georgetown,Marco Rubio,Republican,2693,2.693
Georgetown,Ted Cruz,Republican,1591,1.591
Greenville,Ben Carson,Republican,8036,8.036
Greenville,Donald Trump,Republican,24913,24.913
Greenville,Jeb Bush,Republican,6548,6.548
Greenville,John Kasich,Republican,7683,7.683
Greenville,Marco Rubio,Republican,22875,22.875
Greenville,Ted Cruz,Republican,22899,22.899
Greenwood,Ben Carson,Republican,989,0.989
Greenwood,Donald Trump,Republican,3029,3.029
Greenwood,Jeb Bush,Republican,866,0.866
Greenwood,John Kasich,Republican,697,0.697
Greenwood,Marco Rubio,Republican,2543,2.543
Greenwood,Ted Cruz,Republican,2408,2.408
Hampton,Ben Carson,Republican,92,0.092
Hampton,Donald Trump,Republican,721,0.721
Hampton,Jeb Bush,Republican,83,0.083
Hampton,John Kasich,Republican,88,0.088
Hampton,Marco Rubio,Republican,314,0.314
Hampton,Ted Cruz,Republican,365,0.365
Horry,Ben Carson,Republican,2638,2.638
Horry,Donald Trump,Republican,26445,26.445
Horry,Jeb Bush,Republican,3161,3.161
Horry,John Kasich,Republican,3430,3.43
Horry,Marco Rubio,Republican,9605,9.605
Horry,Ted Cruz,Republican,8496,8.496
Jasper,Ben Carson,Republican,157,0.157
Jasper,Donald Trump,Republican,1169,1.169
Jasper,Jeb Bush,Republican,119,0.119
Jasper,John Kasich,Republican,295,0.295
Jasper,Marco Rubio,Republican,695,0.695
Jasper,Ted Cruz,Republican,566,0.566
Kershaw,Ben Carson,Republican,616,0.616
Kershaw,Donald Trump,Republican,3673,3.673
Kershaw,Jeb Bush,Republican,1150,1.15
Kershaw,John Kasich,Republican,579,0.579
Kershaw,Marco Rubio,Republican,1896,1.896
Kershaw,Ted Cruz,Republican,2772,2.772
Lancaster,Ben Carson,Republican,1136,1.136
Lancaster,Donald Trump,Republican,4190,4.19
Lancaster,Jeb Bush,Republican,561,0.561
Lancaster,John Kasich,Republican,1047,1.047
Lancaster,Marco Rubio,Republican,2754,2.754
Lancaster,Ted Cruz,Republican,2689,2.689
Laurens,Ben Carson,Republican,791,0.791
Laurens,Donald Trump,Republican,3321,3.321
Laurens,Jeb Bush,Republican,765,0.765
Laurens,John Kasich,Republican,436,0.436
Laurens,Marco Rubio,Republican,1580,1.58
Laurens,Ted Cruz,Republican,2745,2.745
Lee,Ben Carson,Republican,65,0.065
Lee,Donald Trump,Republican,743,0.743
Lee,Jeb Bush,Republican,152,0.152
Lee,John Kasich,Republican,58,0.058
Lee,Marco Rubio,Republican,195,0.195
Lee,Ted Cruz,Republican,353,0.353
Lexington,Ben Carson,Republican,4847,4.847
Lexington,Donald Trump,Republican,16361,16.361
Lexington,Jeb Bush,Republican,5298,5.298
Lexington,John Kasich,Republican,3449,3.449
Lexington,Marco Rubio,Republican,11419,11.419
Lexington,Ted Cruz,Republican,13167,13.167
Marion,Ben Carson,Republican,140,0.14
Marion,Donald Trump,Republican,1206,1.206
Marion,Jeb Bush,Republican,215,0.215
Marion,John Kasich,Republican,100,0.1
Marion,Marco Rubio,Republican,436,0.436
Marion,Ted Cruz,Republican,740,0.74
Marlboro,Ben Carson,Republican,128,0.128
Marlboro,Donald Trump,Republican,737,0.737
Marlboro,Jeb Bush,Republican,164,0.164
Marlboro,John Kasich,Republican,57,0.057
Marlboro,Marco Rubio,Republican,254,0.254
Marlboro,Ted Cruz,Republican,409,0.409
McCormick,Ben Carson,Republican,106,0.106
McCormick,Donald Trump,Republican,615,0.615
McCormick,Jeb Bush,Republican,76,0.076
McCormick,John Kasich,Republican,180,0.18
McCormick,Marco Rubio,Republican,468,0.468
McCormick,Ted Cruz,Republican,371,0.371
Newberry,Ben Carson,Republican,518,0.518
Newberry,Donald Trump,Republican,2024,2.024
Newberry,Jeb Bush,Republican,607,0.607
Newberry,John Kasich,Republican,337,0.337
Newberry,Marco Rubio,Republican,1146,1.146
Newberry,Ted Cruz,Republican,1251,1.251
Oconee,Ben Carson,Republican,1123,1.123
Oconee,Donald Trump,Republican,4424,4.424
Oconee,Jeb Bush,Republican,1391,1.391
Oconee,John Kasich,Republican,1477,1.477
Oconee,Marco Rubio,Republican,4002,4.002
Oconee,Ted Cruz,Republican,3164,3.164
Orangeburg,Ben Carson,Republican,404,0.404
Orangeburg,Donald Trump,Republican,2536,2.536
Orangeburg,Jeb Bush,Republican,779,0.779
Orangeburg,John Kasich,Republican,353,0.353
Orangeburg,Marco Rubio,Republican,1305,1.305
Orangeburg,Ted Cruz,Republican,1303,1.303
Pickens,Ben Carson,Republican,1714,1.714
Pickens,Donald Trump,Republican,7136,7.136
Pickens,Jeb Bush,Republican,2033,2.033
Pickens,John Kasich,Republican,1448,1.448
Pickens,Marco Rubio,Republican,4961,4.961
Pickens,Ted Cruz,Republican,6393,6.393
Richland,Ben Carson,Republican,2633,2.633
Richland,Donald Trump,Republican,9172,9.172
Richland,Jeb Bush,Republican,4484,4.484
Richland,John Kasich,Republican,4051,4.051
Richland,Marco Rubio,Republican,10955,10.955
Richland,Ted Cruz,Republican,7964,7.964
Saluda,Ben Carson,Republican,295,0.295
Saluda,Donald Trump,Republican,1248,1.248
Saluda,Jeb Bush,Republican,382,0.382
Saluda,John Kasich,Republican,156,0.156
Saluda,Marco Rubio,Republican,553,0.553
Saluda,Ted Cruz,Republican,797,0.797
Spartanburg,Ben Carson,Republican,4036,4.036
Spartanburg,Donald Trump,Republican,15249,15.249
Spartanburg,Jeb Bush,Republican,2744,2.744
Spartanburg,John Kasich,Republican,2457,2.457
Spartanburg,Marco Rubio,Republican,10691,10.691
Spartanburg,Ted Cruz,Republican,11478,11.478
Sumter,Ben Carson,Republican,817,0.817
Sumter,Donald Trump,Republican,3762,3.762
Sumter,Jeb Bush,Republican,1352,1.352
Sumter,John Kasich,Republican,532,0.532
Sumter,Marco Rubio,Republican,2236,2.236
Sumter,Ted Cruz,Republican,2474,2.474
Union,Ben Carson,Republican,189,0.189
Union,Donald Trump,Republican,1403,1.403
Union,Jeb Bush,Republican,269,0.269
Union,John Kasich,Republican,114,0.114
Union,Marco Rubio,Republican,752,0.752
Union,Ted Cruz,Republican,884,0.884
Williamsburg,Ben Carson,Republican,152,0.152
Williamsburg,Donald Trump,Republican,1186,1.186
Williamsburg,Jeb Bush,Republican,230,0.23
Williamsburg,John Kasich,Republican,76,0.076
Williamsburg,Marco Rubio,Republican,520,0.52
Williamsburg,Ted Cruz,Republican,575,0.575
York,Ben Carson,Republican,3953,3.953
York,Donald Trump,Republican,12031,12.031
York,Jeb Bush,Republican,2036,2.036
York,John Kasich,Republican,2632,2.632
York,Marco Rubio,Republican,8089,8.089
York,Ted Cruz,Republican,9169,9.169
Aurora,Bernie Sanders,Democrat,132,0.132
Aurora,Hillary Clinton,Democrat,150,0.15
Beadle,Bernie Sanders,Democrat,373,0.373
Beadle,Hillary Clinton,Democrat,501,0.501
Bennett,Bernie Sanders,Democrat,95,0.095
Bennett,Hillary Clinton,Democrat,74,0.074
Bon Homme,Bernie Sanders,Democrat,197,0.197
Bon Homme,Hillary Clinton,Democrat,225,0.225
Brookings,Bernie Sanders,Democrat,901,0.901
Brookings,Hillary Clinton,Democrat,955,0.955
Brown,Bernie Sanders,Democrat,1138,1.138
Brown,Hillary Clinton,Democrat,1369,1.369
Brule,Bernie Sanders,Democrat,219,0.219
Brule,Hillary Clinton,Democrat,182,0.182
Buffalo,Bernie Sanders,Democrat,71,0.071
Buffalo,Hillary Clinton,Democrat,110,0.11
Butte,Bernie Sanders,Democrat,284,0.284
Butte,Hillary Clinton,Democrat,167,0.167
Campbell,Bernie Sanders,Democrat,26,0.026
Campbell,Hillary Clinton,Democrat,20,0.02
Charles Mix,Bernie Sanders,Democrat,277,0.277
Charles Mix,Hillary Clinton,Democrat,293,0.293
Clark,Bernie Sanders,Democrat,86,0.086
Clark,Hillary Clinton,Democrat,112,0.112
Clay,Bernie Sanders,Democrat,609,0.609
Clay,Hillary Clinton,Democrat,623,0.623
Codington,Bernie Sanders,Democrat,645,0.645
Codington,Hillary Clinton,Democrat,828,0.828
Corson,Bernie Sanders,Democrat,148,0.148
Corson,Hillary Clinton,Democrat,115,0.115
Custer,Bernie Sanders,Democrat,276,0.276
Custer,Hillary Clinton,Democrat,245,0.245
Davison,Bernie Sanders,Democrat,440,0.44
Davison,Hillary Clinton,Democrat,542,0.542
Day,Bernie Sanders,Democrat,203,0.203
Day,Hillary Clinton,Democrat,343,0.343
Deuel,Bernie Sanders,Democrat,111,0.111
Deuel,Hillary Clinton,Democrat,162,0.162
Dewey,Bernie Sanders,Democrat,342,0.342
Dewey,Hillary Clinton,Democrat,181,0.181
Douglas,Bernie Sanders,Democrat,37,0.037
Douglas,Hillary Clinton,Democrat,48,0.048
Edmunds,Bernie Sanders,Democrat,155,0.155
Edmunds,Hillary Clinton,Democrat,170,0.17
Fall River,Bernie Sanders,Democrat,304,0.304
Fall River,Hillary Clinton,Democrat,207,0.207
Faulk,Bernie Sanders,Democrat,78,0.078
Faulk,Hillary Clinton,Democrat,86,0.086
Grant,Bernie Sanders,Democrat,419,0.419
Grant,Hillary Clinton,Democrat,528,0.528
Gregory,Bernie Sanders,Democrat,164,0.164
Gregory,Hillary Clinton,Democrat,179,0.179
Haakon,Bernie Sanders,Democrat,53,0.053
Haakon,Hillary Clinton,Democrat,23,0.023
Hamlin,Bernie Sanders,Democrat,125,0.125
Hamlin,Hillary Clinton,Democrat,181,0.181
Hand,Bernie Sanders,Democrat,98,0.098
Hand,Hillary Clinton,Democrat,105,0.105
Hanson,Bernie Sanders,Democrat,83,0.083
Hanson,Hillary Clinton,Democrat,97,0.097
Harding,Bernie Sanders,Democrat,40,0.04
Harding,Hillary Clinton,Democrat,14,0.014
Hughes,Bernie Sanders,Democrat,489,0.489
Hughes,Hillary Clinton,Democrat,528,0.528
Hutchinson,Bernie Sanders,Democrat,125,0.125
Hutchinson,Hillary Clinton,Democrat,151,0.151
Hyde,Bernie Sanders,Democrat,26,0.026
Hyde,Hillary Clinton,Democrat,40,0.04
Jackson,Bernie Sanders,Democrat,69,0.069
Jackson,Hillary Clinton,Democrat,59,0.059
Jerauld,Bernie Sanders,Democrat,65,0.065
Jerauld,Hillary Clinton,Democrat,96,0.096
Jones,Bernie Sanders,Democrat,31,0.031
Jones,Hillary Clinton,Democrat,20,0.02
Kingsbury,Bernie Sanders,Democrat,164,0.164
Kingsbury,Hillary Clinton,Democrat,201,0.201
Lake,Bernie Sanders,Democrat,456,0.456
Lake,Hillary Clinton,Democrat,484,0.484
Lawrence,Bernie Sanders,Democrat,941,0.941
Lawrence,Hillary Clinton,Democrat,705,0.705
Lincoln,Bernie Sanders,Democrat,1152,1.152
Lincoln,Hillary Clinton,Democrat,1436,1.436
Lyman,Bernie Sanders,Democrat,115,0.115
Lyman,Hillary Clinton,Democrat,115,0.115
Marshall,Bernie Sanders,Democrat,169,0.169
Marshall,Hillary Clinton,Democrat,287,0.287
McCook,Bernie Sanders,Democrat,132,0.132
McCook,Hillary Clinton,Democrat,214,0.214
McPherson,Bernie Sanders,Democrat,46,0.046
McPherson,Hillary Clinton,Democrat,47,0.047
Meade,Bernie Sanders,Democrat,696,0.696
Meade,Hillary Clinton,Democrat,530,0.53
Mellette,Bernie Sanders,Democrat,76,0.076
Mellette,Hillary Clinton,Democrat,50,0.05
Miner,Bernie Sanders,Democrat,84,0.084
Miner,Hillary Clinton,Democrat,109,0.109
Minnehaha,Bernie Sanders,Democrat,5290,5.29
Minnehaha,Hillary Clinton,Democrat,6018,6.018
Moody,Bernie Sanders,Democrat,207,0.207
Moody,Hillary Clinton,Democrat,262,0.262
Oglala Lakota,Bernie Sanders,Democrat,574,0.574
Oglala Lakota,Hillary Clinton,Democrat,425,0.425
Pennington,Bernie Sanders,Democrat,3996,3.996
Pennington,Hillary Clinton,Democrat,3384,3.384
Perkins,Bernie Sanders,Democrat,93,0.093
Perkins,Hillary Clinton,Democrat,43,0.043
Potter,Bernie Sanders,Democrat,54,0.054
Potter,Hillary Clinton,Democrat,59,0.059
Roberts,Bernie Sanders,Democrat,397,0.397
Roberts,Hillary Clinton,Democrat,392,0.392
Sanborn,Bernie Sanders,Democrat,45,0.045
Sanborn,Hillary Clinton,Democrat,66,0.066
Spink,Bernie Sanders,Democrat,201,0.201
Spink,Hillary Clinton,Democrat,283,0.283
Stanley,Bernie Sanders,Democrat,102,0.102
Stanley,Hillary Clinton,Democrat,95,0.095
Sully,Bernie Sanders,Democrat,51,0.051
Sully,Hillary Clinton,Democrat,37,0.037
Todd,Bernie Sanders,Democrat,524,0.524
Todd,Hillary Clinton,Democrat,408,0.408
Tripp,Bernie Sanders,Democrat,147,0.147
Tripp,Hillary Clinton,Democrat,136,0.136
Turner,Bernie Sanders,Democrat,178,0.178
Turner,Hillary Clinton,Democrat,232,0.232
Union,Bernie Sanders,Democrat,306,0.306
Union,Hillary Clinton,Democrat,380,0.38
Walworth,Bernie Sanders,Democrat,116,0.116
Walworth,Hillary Clinton,Democrat,121,0.121
Yankton,Bernie Sanders,Democrat,580,0.58
Yankton,Hillary Clinton,Democrat,706,0.706
Ziebach,Bernie Sanders,Democrat,132,0.132
Ziebach,Hillary Clinton,Democrat,92,0.092
Aurora,Donald Trump,Republican,136,0.136
Aurora,John Kasich,Republican,27,0.027
Aurora,Ted Cruz,Republican,50,0.05
Beadle,Donald Trump,Republican,454,0.454
Beadle,John Kasich,Republican,108,0.108
Beadle,Ted Cruz,Republican,140,0.14
Bennett,Donald Trump,Republican,179,0.179
Bennett,John Kasich,Republican,29,0.029
